,exchange,growth,uptake
0,EX_cs_c_e,True,10
1,EX_dextrin_e,True,10
2,EX_glycogen_e,True,10
3,EX_mannan_e,False,10
4,EX_pectin_e,True,10
5,EX_acgal_e,True,10
6,EX_acnam_e,False,10
7,EX_arab__D_e,True,10
8,EX_abt__D_e,False,10
9,EX_abt__L_e,False,10
10,EX_arbt_e,True,10
11,EX_drib_e,False,10
12,EX_madg_e,True,10
13,EX_pala_e,True,10
14,EX_raffin_e,True,10
15,EX_salcn_e,True,10
16,EX_srb__L_e,False,10
17,EX_stys_e,True,10
18,EX_tag__D_e,False,10
19,EX_xylt_e,False,10
20,EX_but_e,False,10
21,EX_dca_e,False,10
22,EX_hxa_e,True,10
23,EX_citac_e,False,10
24,EX_citm_e,False,10
25,EX_gam_e,True,10
26,EX_salc_e,False,10
27,EX_4hbz_e,False,10
28,EX_glyclt_e,False,10
29,EX_itacon_e,False,10
30,EX_5dglcn_e,True,10
31,EX_malon_e,False,10
32,EX_oxa_e,False,10
33,EX_quin_e,False,10
34,EX_Dara14lac_e,False,10
35,EX_sebacid_e,False,10
36,EX_tartr__D_e,False,10
37,EX_tartr__L_e,False,10
38,EX_ad_e,False,10
39,EX_acglu_e,False,10
40,EX_arg__L_e,False,10
41,EX_gly_e,False,10
42,EX_his__L_e,False,10
43,EX_hom__L_e,False,10
44,EX_4hpro_DC_e,False,10
45,EX_ile__L_e,True,10
46,EX_leu__L_e,True,10
47,EX_lys__L_e,False,10
48,EX_met__L_e,False,10
49,EX_orn__L_e,False,10
50,EX_phe__L_e,True,10
51,EX_5oxpro_e,True,10
52,EX_val__L_e,True,10
53,EX_crn_e,False,10
54,EX_ptrc_e,True,10
55,EX_dha_e,True,10
56,EX_btd_RR_e,False,10
57,EX_diact_e,False,10
58,EX_R_actn_e,False,10
59,EX_glc__D_e,True,10
